zone,code,name
TL.M1.SD1,TL.M1.SD1.SC1,Suco Iliomar I
TL.M1.SD1,TL.M1.SD1.SC2,Suco Iliomar II
TL.M1.SD1,TL.M1.SD1.SC3,Suco Ailebere
TL.M1.SD1,TL.M1.SD1.SC4,Suco Fuat
TL.M1.SD1,TL.M1.SD1.SC5,Suco Cainliu
TL.M1.SD1,TL.M1.SD1.SC6,Suco Tirilolo
TL.M1.SD2,TL.M1.SD2.SC7,Suco Baduro
TL.M1.SD2,TL.M1.SD2.SC8,Suco Com
TL.M1.SD2,TL.M1.SD2.SC9,Suco Daudere
TL.M1.SD2,TL.M1.SD2.SC10,Suco Eukisi
TL.M1.SD2,TL.M1.SD2.SC11,Suco Ililai
TL.M1.SD2,TL.M1.SD2.SC12,Suco Maina I
TL.M1.SD2,TL.M1.SD2.SC13,Suco Maina II
TL.M1.SD2,TL.M1.SD2.SC14,Suco Pairara
TL.M1.SD2,TL.M1.SD2.SC15,Suco Parlamento
TL.M1.SD2,TL.M1.SD2.SC16,Suco Serelau
TL.M1.SD3,TL.M1.SD3.SC17,Suco Bauro
TL.M1.SD3,TL.M1.SD3.SC18,Suco Cacavei
TL.M1.SD3,TL.M1.SD3.SC19,Suco Fuiloro
TL.M1.SD3,TL.M1.SD3.SC20,Suco Home
TL.M1.SD3,TL.M1.SD3.SC21,Suco Leuro
TL.M1.SD3,TL.M1.SD3.SC22,Suco Loré I
TL.M1.SD3,TL.M1.SD3.SC23,Suco Loré II
TL.M1.SD3,TL.M1.SD3.SC24,Suco Muapitine
TL.M1.SD3,TL.M1.SD3.SC25,Suco Raça
TL.M1.SD3,TL.M1.SD3.SC26,Suco Souro
TL.M1.SD4,TL.M1.SD4.SC27,Suco Afabubu
TL.M1.SD4,TL.M1.SD4.SC28,Suco Baricafa
TL.M1.SD4,TL.M1.SD4.SC29,Suco Cotamuto
TL.M1.SD4,TL.M1.SD4.SC30,Suco Lakawa
TL.M1.SD4,TL.M1.SD4.SC31,Suco Luro
TL.M1.SD4,TL.M1.SD4.SC32,Suco Wairoke
TL.M1.SD4,TL.M1.SD4.SC33,Tutuala Administrative Post
TL.M1.SD4,TL.M1.SD4.SC34,Suco Mehara
TL.M1.SD4,TL.M1.SD4.SC35,Suco Tutuala
TL.M10.SD45,TL.M10.SD45.SC333,Suco Ainaro
TL.M10.SD45,TL.M10.SD45.SC334,Suco Cassa
TL.M10.SD45,TL.M10.SD45.SC335,Suco Manutassi
TL.M10.SD45,TL.M10.SD45.SC336,Suco Mau-Nunu
TL.M10.SD45,TL.M10.SD45.SC337,Suco Mau-Ulo
TL.M10.SD45,TL.M10.SD45.SC338,Suco Soro
TL.M10.SD45,TL.M10.SD45.SC339,Suco Suro-Craic
TL.M10.SD46,TL.M10.SD46.SC341,Suco Beikala
TL.M10.SD46,TL.M10.SD46.SC342,Suco Leolima
TL.M10.SD47,TL.M10.SD47.SC344,Suco Mulo
TL.M10.SD47,TL.M10.SD47.SC345,Suco Mauchiga
TL.M10.SD47,TL.M10.SD47.SC346,Suco Nunu Mogue
TL.M10.SD48,TL.M10.SD48.SC348,Suco Aituto
TL.M10.SD48,TL.M10.SD48.SC349,Suco Edi
TL.M10.SD48,TL.M10.SD48.SC350,Suco Fatubessi
TL.M10.SD48,TL.M10.SD48.SC351,Suco Horiauic
TL.M10.SD48,TL.M10.SD48.SC352,Suco Liurai
TL.M10.SD48,TL.M10.SD48.SC353,Suco Manelobas
TL.M10.SD48,TL.M10.SD48.SC354,Suco Manetu
TL.M10.SD48,TL.M10.SD48.SC355,Suco Maubisse
TL.M10.SD48,TL.M10.SD48.SC356,Suco Maulau
TL.M11.SD49,TL.M11.SD49.SC357,Suco Aidabaleten
TL.M11.SD49,TL.M11.SD49.SC358,Suco Atabai
TL.M11.SD49,TL.M11.SD49.SC359,Suco Rairobo
TL.M11.SD49,TL.M11.SD49.SC360,Suco Hataz
TL.M11.SD50,TL.M11.SD50.SC361,Suco Balibo Kota
TL.M11.SD50,TL.M11.SD50.SC362,Suco Batugade
TL.M11.SD50,TL.M11.SD50.SC363,Suco Cová
TL.M11.SD50,TL.M11.SD50.SC364,Suco Leohitu
TL.M11.SD50,TL.M11.SD50.SC365,Suco Leolima
TL.M11.SD50,TL.M11.SD50.SC366,Suco Sanirin
TL.M11.SD51,TL.M11.SD51.SC367,Suco Ai-Assa
TL.M11.SD51,TL.M11.SD51.SC368,Suco Atu Aben
TL.M11.SD51,TL.M11.SD51.SC369,Suco Bobonaro
TL.M11.SD51,TL.M11.SD51.SC370,Suco Carabau
TL.M11.SD51,TL.M11.SD51.SC371,Suco Colimau
TL.M11.SD51,TL.M11.SD51.SC372,Suco Cota Bo’ot
TL.M11.SD51,TL.M11.SD51.SC373,Suco Ilatalaun
TL.M11.SD51,TL.M11.SD51.SC374,Suco Leber
TL.M11.SD51,TL.M11.SD51.SC375,Suco Lour
TL.M11.SD51,TL.M11.SD51.SC376,Suco Lourba
TL.M11.SD51,TL.M11.SD51.SC377,Suco Maliubu
TL.M11.SD51,TL.M11.SD51.SC378,Suco Malilait
TL.M11.SD51,TL.M11.SD51.SC379,Suco Molop
TL.M11.SD51,TL.M11.SD51.SC380,Suco Oe-Leu
TL.M11.SD51,TL.M11.SD51.SC381,Suco Sibuni
TL.M11.SD51,TL.M11.SD51.SC382,Suco Soi Leco
TL.M11.SD51,TL.M11.SD51.SC383,Suco Tapo
TL.M11.SD51,TL.M11.SD51.SC384,Suco Tebabui
TL.M11.SD52,TL.M11.SD52.SC385,Suco Atudara
TL.M11.SD52,TL.M11.SD52.SC386,Suco Daudo
TL.M11.SD52,TL.M11.SD52.SC387,Suco Goulolo
TL.M11.SD52,TL.M11.SD52.SC388,Suco Guenolai
TL.M11.SD52,TL.M11.SD52.SC389,Suco Manapa
TL.M11.SD52,TL.M11.SD52.SC390,Suco Miligo
TL.M11.SD52,TL.M11.SD52.SC391,Suco Purogoa
TL.M11.SD52,TL.M11.SD52.SC392,Suco Raiheu
TL.M11.SD53,TL.M11.SD53.SC393,Suco Deudet
TL.M11.SD53,TL.M11.SD53.SC394,Suco Gildapil
TL.M11.SD53,TL.M11.SD53.SC395,Suco Guda
TL.M11.SD53,TL.M11.SD53.SC396,Suco Lebos
TL.M11.SD53,TL.M11.SD53.SC397,Suco Lontas
TL.M11.SD53,TL.M11.SD53.SC398,Suco Lupai
TL.M11.SD53,TL.M11.SD53.SC399,Suco Opa
TL.M11.SD54,TL.M11.SD54.SC400,Suco Holsa
TL.M11.SD54,TL.M11.SD54.SC401,Suco Lahomea
TL.M11.SD54,TL.M11.SD54.SC402,Suco Odamau
TL.M11.SD54,TL.M11.SD54.SC403,Suco Rai Fun
TL.M11.SD54,TL.M11.SD54.SC404,Suco Ritabou
TL.M11.SD54,TL.M11.SD54.SC405,Suco Saburai
TL.M11.SD54,TL.M11.SD54.SC406,Suco Tapo Memo
TL.M12.SD55,TL.M12.SD55.SC407,Suco Fatululic
TL.M12.SD55,TL.M12.SD55.SC408,Suco Taroman
TL.M12.SD56,TL.M12.SD56.SC409,Suco Beluluik Leten
TL.M12.SD56,TL.M12.SD56.SC410,Suco Fatumea
TL.M12.SD56,TL.M12.SD56.SC411,Suco Nanu
TL.M12.SD57,TL.M12.SD57.SC412,Suco Dato Rua
TL.M12.SD57,TL.M12.SD57.SC413,Suco Dato Tolu
TL.M12.SD57,TL.M12.SD57.SC414,Suco Fohoren
TL.M12.SD57,TL.M12.SD57.SC415,Suco Lactos
TL.M12.SD58,TL.M12.SD58.SC416,Suco Belecasac
TL.M12.SD58,TL.M12.SD58.SC417,Suco Holpilat
TL.M12.SD58,TL.M12.SD58.SC418,Suco Matai
TL.M12.SD58,TL.M12.SD58.SC419,Suco Ogues
TL.M12.SD59,TL.M12.SD59.SC420,Suco Beco I
TL.M12.SD59,TL.M12.SD59.SC421,Suco Debos
TL.M12.SD59,TL.M12.SD59.SC422,Suco Labarat
TL.M12.SD59,TL.M12.SD59.SC423,Suco Kamenasa
TL.M12.SD59,TL.M12.SD59.SC424,Suco Suai Loro
TL.M12.SD60,TL.M12.SD60.SC425,Suco Beiseuc
TL.M12.SD60,TL.M12.SD60.SC426,Suco Casabauc
TL.M12.SD60,TL.M12.SD60.SC427,Suco Lalawa
TL.M12.SD60,TL.M12.SD60.SC428,Suco Maudemo
TL.M12.SD61,TL.M12.SD61.SC429,Suco Beco II
TL.M12.SD61,TL.M12.SD61.SC430,Suco Fatuleto
TL.M12.SD61,TL.M12.SD61.SC431,Suco Lepo
TL.M12.SD61,TL.M12.SD61.SC432,Suco Lour
TL.M12.SD61,TL.M12.SD61.SC433,Suco Mape
TL.M12.SD61,TL.M12.SD61.SC434,Suco Raimera
TL.M12.SD61,TL.M12.SD61.SC435,Suco Ucecai
TL.M12.SD61,TL.M12.SD61.SC436,Suco Zulo
TL.M13.SD62,TL.M13.SD62.SC437,Suco Banafi
TL.M13.SD62,TL.M13.SD62.SC438,Suco Bebe Ufe
TL.M13.SD62,TL.M13.SD62.SC439,Suco Lela Ufe
TL.M13.SD62,TL.M13.SD62.SC440,Suco Suni Ufe
TL.M13.SD62,TL.M13.SD62.SC441,Suco Usi Taco
TL.M13.SD63,TL.M13.SD63.SC442,Suco Bobometo
TL.M13.SD63,TL.M13.SD63.SC443,Suco Usitakeno
TL.M13.SD63,TL.M13.SD63.SC444,Suco Usitasae
TL.M13.SD64,TL.M13.SD64.SC445,Suco Bobocasae
TL.M13.SD64,TL.M13.SD64.SC446,Suco Costa
TL.M13.SD64,TL.M13.SD64.SC447,Suco Cunha
TL.M13.SD64,TL.M13.SD64.SC448,Suco Lalisuk
TL.M13.SD64,TL.M13.SD64.SC449,Suco Lifau
TL.M13.SD64,TL.M13.SD64.SC450,Suco Naimeco
TL.M13.SD64,TL.M13.SD64.SC451,Suco Nipane
TL.M13.SD64,TL.M13.SD64.SC452,Suco Taiboco
TL.M13.SD65,TL.M13.SD65.SC453,Suco Abani
TL.M13.SD65,TL.M13.SD65.SC454,Suco Malelat
TL.M2.SD10,TL.M2.SD10.SC80,Suco Caicua
TL.M2.SD10,TL.M2.SD10.SC81,Suco Loilubo
TL.M2.SD10,TL.M2.SD10.SC82,Suco Ossoala
TL.M2.SD10,TL.M2.SD10.SC83,Suco Ostico
TL.M2.SD10,TL.M2.SD10.SC84,Suco Uaigae
TL.M2.SD10,TL.M2.SD10.SC85,Suco Uatu-Lari
TL.M2.SD10,TL.M2.SD10.SC86,Suco Vemasse
TL.M2.SD11,TL.M2.SD11.SC87,Suco Bado-Ho’o
TL.M2.SD11,TL.M2.SD11.SC88,Suco Bahamori
TL.M2.SD11,TL.M2.SD11.SC89,Suco Fatulia
TL.M2.SD11,TL.M2.SD11.SC90,Suco Uailaha
TL.M2.SD11,TL.M2.SD11.SC91,Suco Uai-Oli
TL.M2.SD11,TL.M2.SD11.SC92,Suco Uatu-Haco
TL.M2.SD11,TL.M2.SD11.SC93,Suco Uma-Anaico
TL.M2.SD11,TL.M2.SD11.SC94,Suco Uma Analu
TL.M2.SD6,TL.M2.SD6.SC36,Suco Afaloicai
TL.M2.SD6,TL.M2.SD6.SC37,Suco Alaua-Craik
TL.M2.SD6,TL.M2.SD6.SC38,Suco Alaua-Leten
TL.M2.SD6,TL.M2.SD6.SC39,Suco Defa-Uassi
TL.M2.SD6,TL.M2.SD6.SC40,Suco Hae-Coni
TL.M2.SD6,TL.M2.SD6.SC41,Suco Larisula
TL.M2.SD6,TL.M2.SD6.SC42,Suco Lavateri
TL.M2.SD6,TL.M2.SD6.SC43,Suco Osso-Huna
TL.M2.SD6,TL.M2.SD6.SC44,Suco Samalari
TL.M2.SD6,TL.M2.SD6.SC45,Suco Uacala
TL.M2.SD7,TL.M2.SD7.SC46,Suco Bahú
TL.M2.SD7,TL.M2.SD7.SC47,Suco Bucoli
TL.M2.SD7,TL.M2.SD7.SC48,Suco Buibau
TL.M2.SD7,TL.M2.SD7.SC49,Suco Buruma
TL.M2.SD7,TL.M2.SD7.SC50,Suco Caibada Uaimua
TL.M2.SD7,TL.M2.SD7.SC51,Suco Samalari
TL.M2.SD7,TL.M2.SD7.SC52,Suco Seiçal
TL.M2.SD7,TL.M2.SD7.SC53,Suco Tirilolo
TL.M2.SD7,TL.M2.SD7.SC54,Suco Triloka
TL.M2.SD7,TL.M2.SD7.SC55,Suco Gariuai
TL.M2.SD7,TL.M2.SD7.SC56,Suco Uailili
TL.M2.SD8,TL.M2.SD8.SC57,Suco Atelari
TL.M2.SD8,TL.M2.SD8.SC58,Suco Libagua
TL.M2.SD8,TL.M2.SD8.SC59,Suco Nunira
TL.M2.SD8,TL.M2.SD8.SC60,Suco Saelari
TL.M2.SD8,TL.M2.SD8.SC61,Suco Sagadate
TL.M2.SD8,TL.M2.SD8.SC62,Suco Samalari
TL.M2.SD8,TL.M2.SD8.SC63,Suco Soba
TL.M2.SD8,TL.M2.SD8.SC64,Suco Tequinaumata
TL.M2.SD9,TL.M2.SD9.SC65,Suco Abafala
TL.M2.SD9,TL.M2.SD9.SC66,Suco Abo
TL.M2.SD9,TL.M2.SD9.SC67,Suco Afaçá
TL.M2.SD9,TL.M2.SD9.SC68,Suco Baguia
TL.M2.SD9,TL.M2.SD9.SC69,Suco Bualale
TL.M2.SD9,TL.M2.SD9.SC70,Suco Guruça
TL.M2.SD9,TL.M2.SD9.SC71,Suco Lacoliu
TL.M2.SD9,TL.M2.SD9.SC72,Suco Laisorulai de baixo
TL.M2.SD9,TL.M2.SD9.SC73,Suco Laisorulai de cima
TL.M2.SD9,TL.M2.SD9.SC74,Suco Lelalai
TL.M2.SD9,TL.M2.SD9.SC75,Suco Letemumo
TL.M2.SD9,TL.M2.SD9.SC76,Suco Macalaco
TL.M2.SD9,TL.M2.SD9.SC77,Suco Maluro
TL.M2.SD9,TL.M2.SD9.SC78,Suco Namanei
TL.M2.SD9,TL.M2.SD9.SC79,Suco Uaitame
TL.M3.SD12,TL.M3.SD12.SC94,Suco Ahic
TL.M3.SD12,TL.M3.SD12.SC95,Suco Dilor
TL.M3.SD12,TL.M3.SD12.SC96,Suco Laline
TL.M3.SD12,TL.M3.SD12.SC97,Suco Uma Tolu
TL.M3.SD13,TL.M3.SD13.SC98,Suco Builale
TL.M3.SD13,TL.M3.SD13.SC99,Suco Builo
TL.M3.SD13,TL.M3.SD13.SC100,Suco Liaruca
TL.M3.SD13,TL.M3.SD13.SC101,Suco Loi-Huno
TL.M3.SD13,TL.M3.SD13.SC102,Suco Nahareca
TL.M3.SD13,TL.M3.SD13.SC103,Suco Ossorua
TL.M3.SD13,TL.M3.SD13.SC104,Suco Ossu de Cima
TL.M3.SD13,TL.M3.SD13.SC105,Suco Uabubo
TL.M3.SD13,TL.M3.SD13.SC106,Suco Uaguia
TL.M3.SD13,TL.M3.SD13.SC107,Suco Uaibobo
TL.M3.SD14,TL.M3.SD14.SC108,Suco Afaloicai
